title,dataset,abstract,authors,doi,journal,keywords,,,,
Are transitions to self-employment beneficial?,dataset-370,"Abstract Much research has been conducted studying entry into self-employment and the corresponding rewards and consequences of self-employment on earnings. The literature finds mixed results regarding whether workers enter self-employment to maximize their pecuniary or their non-pecuniary benefits. This paper suggests that whether workers are able to increase their pecuniary or non-pecuniary benefits in self-employment depends on their motivations for entering self-employment in the first place. This study uses longitudinal NSF SESTAT data on over 28,000 scientists and engineers to track employment changes and changes in work outcomes over time for the same individuals. The research examines changes in pecuniary and non-pecuniary work outcomes when wage workers transition to self-employment, compared to those who do not change employers, as well as to those who change employers but do not transition to self-employment. This allows a deeper look at the implications of different types of mobility on work outcomes. The findings show that in general those who transition to self-employment experience improvements in their non-pecuniary outcomes but not in their pecuniary outcomes, however the results do differ depending on the motivation for moving. Using job satisfaction as a proxy measure for non-pecuniary benefits, this paper finds that while those who enter self-employment from wage work do generally improve their job satisfaction, job satisfaction rises for all movers, not just for those who enter self-employment.",Briana Sell Stenard,10.1016/j.jbvi.2019.e00131,Journal of Business Venturing Insights,,,,,
Academic Entrepreneurship: The Bayh-Dole Act versus the ProfessoraTMs Privilege,dataset-370,"Is the Bayh-Dole intellectual property regime associated with more and better academic entrepreneurship than the Professor 2019s Privilege regime? The authors examine data on US PhDs in the natural sciences, engineering, and medical fields who became entrepreneurs in 1993 20132006 and compare this to similar data from Sweden. They find that, in both countries, those with an academic background have lower rates of entry into entrepreneurship than do those with a non-academic background. The relative rate of academics starting entrepreneurial firms is slightly lower in the United States than in Sweden. Moreover, the mean economic gains from becoming an entrepreneur are negative, both for PhDs originating in academia and for non-academic settings in both countries. Analysis indicates that selection into entrepreneurship occurs from the lower part of the ability distribution among academics. The results suggest that policies supporting entrepreneurial decisions by younger, tenure-track academics may be more effective...","Thomas stebro,Serguey Braguinsky,Pontus Braunerhjelm,Anders Brostrm",10.1177/0019793918819809,ILR Review,,,,,
Why foreign STEM PhDs are unlikely to work for US technology startups,dataset-370,"Visa policies to retain United States-trained STEM PhDs are of central importance to national innovation and economic competitiveness. There is also growing interest in \startup\ visas that stimulate entrepreneurial activity and job creation, particularly in technology sectors. However, there is little understanding of how visa policies might influence foreign PhDs' employment in technology startups. This study investigates differences between 2,324 foreign and US PhDs from US research universities using a longitudinal survey of individuals' preferences and characteristics during graduate school and their subsequent employment in a startup or established firm. Among PhDs whose first job is industrial research & development, 15.8% of US PhDs work in a startup compared with 6.8% of foreign PhDs. Foreign PhDs are as likely as US PhDs to apply to and receive offers for startup jobs, but conditional on receiving an offer, they are 56% less likely to work in a startup. This disparity is partially explained by differences in visa sponsorship between startups and established firms and not by foreign PhDs' preferences for established firm jobs, risk tolerance, or preference for higher pay. Foreign PhDs who first work in an established firm and subsequently receive a green card are more likely to move to a startup than another established firm, suggesting that permanent residency facilitates startup employment. These findings suggest that US visa policies may deter foreign PhDs from working in startups, thereby restricting startups' access to a large segment of the STEM PhD workforce and impairing startups' ability to contribute to innovation and economic growth.","Michael Roach,John David Skrentny",10.1073/pnas.1820079116,Proceedings of the National Academy of Sciences,,,,,
"Investigating the US biomedical workforce: gender, field of training, and retention",dataset-370,"The biomedical research workforce plays a crucial role in fostering economic growth and improving public health through discoveries and innovations. This study fills a knowledge gap by providing a comprehensive portrait of this workforce and retention within it. A distinguishing feature is that we use an occupation-based definition which allows us to look ‘backward’ to field of training and assess the extent to which it has grown more interdisciplinary, and how this differs by gender. The analysis is conducted using restricted-use SESTAT data, the most comprehensive dataset on the scientific workforce in the USA, for the years 1993, 2003, and 2010. Among the findings, we identify differences in interdisciplinarity in training by gender, and these differences have widened. In the retention analysis, which focuses on the 7-year period, 2003–10, we find that retention is negatively and significantly associated with interdisciplinary training for women, but not for men.","Anne E. Winkler,Sharon G. Levin,Michael T. Allison",10.1093/scipol/scz039,Science and Public Policy,,,,,
"On the nexus between innovation, productivity and migration of US university graduates",dataset-370,"This paper studies the link between the migration of US university graduates, innovation and productivity. Using migration flows extracted from the SESTAT database and following a simultane...",Pantelis Kazakis,10.1080/17421772.2019.1636127,Spatial Economic Analysis,,,,,
Investigation of an equity ethic in engineering and computing doctoral students,dataset-370,"Background: Research shows that engineering and computing students who are marginalized by race and/or gender and experience social suffering often wish to challenge social inequities through their vocation, an attribute we refer to as an equity ethic. This study explores how doctoral engineering and computing students develop this attribute even when they do not directly experience social suffering. Purpose: We explored the relationship between (a) doctoral engineering and computing students' experiences with social suffering and their development of an equity ethic and (b) their equity ethic and career interests. Methods:We present a thematic analysis of the transcripts of in‐depth, semistructured interviews with 18 engineering and computing PhD students, coding for experiences with social suffering, degree of equity ethic, and their career interests. Results: Students with an equity ethic who aspired to reduce inequities within their disciplines personally experienced or witnessed social suffering within and outside academia. Students with “high potential” for developing this attribute who aspired to help others with their disciplines acknowledged social suffering. While both those with an equity ethic and those with high potential saw inequities as socially caused, those with an equity ethic reported more impactful experiences with social suffering, resulting in greater empathy and responsibility to respond. Several students described neither altruistic nor social justice concerns (students with low potential) and did not experience social suffering directly or indirectly. Those with an equity ethic or high potential often showed interest in academia. Conclusions: Most participants expressed concerns for helping others in their occupations. This result suggests a nascent equity ethic that could be cultivated through intentional programmatic efforts.","Dara E. Naphan Kingery,Monica Miles,Amanda J. Brockman,Rachel G. McKane,Portia K. Botchway,Ebony O. McGee",10.1002/jee.20284,Journal of Engineering Education,,,,,
A National Study of the Influence of the Community College Pathway on Female StudentsaTM STEM Baccalaureate Success,dataset-370,"Objective: This study examines the role of community colleges in closing the gender gap in science, technology, engineering, and mathematics (STEM) by studying whether beginning at a community coll...","Xiaodan Hu,Justin C. Ortagus",10.1177/0091552119850321,Community College Review,"Gene regulatory network,",,,,
The impact of the H-1B cap exemption on Ph.D. labor markets,dataset-370,"The American Competitiveness in the Twenty-First Century Act of 2000 (AC21) eliminated the H-1B cap for foreign employees of academic, nonprofit and government research organizations. This act potentially affects the job preferences of newly graduated foreign Ph.D. students. Choosing a career in an uncapped H-1B-qualified entity means circumventing the risk of facing the fiercely competitive H-1B application process and possibly avoiding potential losses due to a visa rejection. We use data from the census of Ph.D. graduates to examine the causal effect of this policy change on academic and industry labor markets in the USA. We find that as a result of this policy, Ph.D. graduates with temporary visas are 5 percentage points more likely to pursue a job in academia, and 3\u20134 percentage points less likely to choose a job in industry. A series of robustness checks exclude other external factors around the same time period driving the results.","Yinjunjie Zhang,Marco A. Palma",10.1007/s00181-019-01721-5,,,,,,
Simulation of the leaky pipeline: Gender diversity in U.S. K-graduate education,dataset-370,"What is the future trend of gender (dis)parity in the U.S. higher education and workforce populations? I take a systems approach to develop a dynamic simulation model of gender diversity in U.S. higher education. The model consists of an education pipeline for males and females and includes several mechanisms that reinforce interest in higher education or affect university admission or dropout rates. I simulated a model and examined its fidelity in replicating the historical data of U.S. higher education from 1970 to 2014. I then simulated the model to forecast future gender composition trends at different levels of education over the next two decades. The model forecasts that women will be the majority of university degree holders in the United States by 2035 (i.e., female to male ratio of 1.7 for advanced degrees) with lower dropout rates. Additionally, a discussion is provided on the study’s findings and subsequent implications.",Maryam A. Andalib,10.1080/17477778.2019.1620650,Journal of Simulation,"Simulation,Red cell phospholipid defect with hemolysis,Graphics pipeline,Graduate Education",,,,
Does scientist immigration harm US science? An examination of the knowledge spillover channel,dataset-370,"The recruitment of foreign-trained scientists enhances US science through an expanded workforce but could also cause harm by displacing better connected domestically-trained scientists, thereby reducing localized knowledge spillovers. We develop a model in which a sufficient condition for the absence of overall harm is that foreign-trained scientists generate at least the same level of localized spillovers as the domestically-trained scientists they displace. To test this condition, we conduct a hypothetical experiment in which each foreign-trained displaces an appropriately matched domestically-trained scientist. Overall, we do not find evidence that foreign-trained scientists harm US science by crowding out better-connected domestically-trained scientists, measured by citations by the US scientific community to their publications.","Ajay Prakash Agrawal,John McHale,Alexander Oettl",10.1016/j.respol.2019.01.005,Research Policy,,,,,
