title,dataset,abstract,authors,doi,journal,keywords,
The role of the microbiome in immunologic development and its implication for pancreatic cancer immunotherapy,dataset-427,"Our understanding of the microbiome and its role in immunity, cancer initiation, and cancer progression has evolved significantly over the past century. The \""germ theory of cancer\"" was first proposed in the early 20th century, and shortly thereafter the bacterium Helicobacter pylori, and later Fusobacterium nucleatum, were implicated in the development of gastric and colorectal cancers, respectively. However, with the development of reliable mouse models and affordable sequencing technologies, the most fascinating aspect of the microbiome-cancer relationship, where microbes undermine cancer immune surveillance and indirectly promote oncogenesis, has only recently been described. In this review, we highlight the essential role of the microbiome in immune system development and maturation. We review how microbe-induced immune activation promotes oncogenesis, focusing particularly on pancreatic carcinogenesis, and show that modulation of the microbiome augments the anti-cancer immune response and enables successful immunotherapy against pancreatic cancer.","Vrishketan Sethi, Gerardo A Vitiello, Deepak Saxena, George Miller, Vikas Dudeja",10.1053/j.gastro.2018.12.045,Gastroenterology,"Pancreatic carcinoma, Immunotherapy, Microbiome, Colorectal Neoplasms ",
"The relation between research priorities and societal demands: The case of rice""",dataset-427,"To what extent is scientific research related to societal needs? To answer this crucial question systematically we need to contrast indicators of research priorities with indicators of societal needs. We focus on rice research and technology between 1983 and 2012. We combine quantitative methods that allow investigation of the relation between \u2018revealed\u2019 research priorities and \u2018revealed\u2019 societal demands, measured respectively by research output (publications) and national accounts of rice use and farmers\u2019 and consumers\u2019 rice-related needs. We employ new bibliometric data, methods and indicators to identify countries\u2019 main rice research topics (priorities) from publications. For a panel of countries, we estimate the relation between revealed research priorities and revealed demands. We find that, across countries and time, societal demands explain a country's research trajectory to a limited extent. Some research priorities are nicely aligned to societal demands, confirming that science is partly related to societal needs. However, we find a relevant number of misalignments between the focus of rice research and revealed demands, crucially related to human consumption and nutrition. We discuss some implications for research policy.","Tommaso Ciarli, Ismael R角fols",10.1016/j.respol.2018.10.027,Research Policy,"Research priority, Agenda setting, Research trajectories, Societal needs, Scientometrics, Rice",
"African Americans in evolutionary science: where we have been, and whataTMs next",dataset-371,"In 2017 National Science Foundation data revealed that in the United States the professional biological workforce was composed of\u2009~\u200969.5% \u201cwhites\u201d, 21.3% \u201cAsians\u201d, and only 3% \u201cAfrican American or Blacks\u201d (National Science Foundation, 2017, https://ncsesdata.nsf.gov/doctoratework/2017/html/sdr2017_dst_03.html). There are problems with the categories themselves but without too deep an investigation of these, these percentages are representative of the demography of biology as a whole over the latter portion of the twentieth and beginning of the twenty-first century. However, evolutionary biologists would argue (and correctly so) that the representation of persons of African descent in our field is probably an order of magnitude lower (0.3%). This commentary focuses on the factors that are associated with underrepresentation of African Americans in evolutionary science careers."",",Joseph L. Graves,10.1186/s12052-019-0110-5,Evolution: Education and Outreach,"African Americans, Evolutionary science, Institutional racism, Aversive racism, Diversity, Inclusion",
Shifting Gears: Characteristics and Consequences of Latent Class Transitions in Doctoral Socialization,dataset-371,"Using a national sample of 336 biology Ph.D. students, this study classified students based on their interactions with faculty and peers, and investigated longitudinal changes in their interaction classifications over 3 years. We also examined associations between students＊ interaction classifications, their demographic backgrounds (e.g., gender, international student status, first-generation status, and underrepresented racial/ethnic minority status), and doctoral outcomes (e.g., sense of belonging, satisfaction with academic development, institutional commitment, and scholarly productivity). The findings revealed that three distinct subgroups existed among the current sample of biology Ph.D. students, with respect to their interactions with their faculty and peers: high interaction with faculty and peers, high interaction with peers only, and low interaction with faculty and peers. However, such patterns of doctoral students＊ interactions with faculty and peers tended to, in general, be stable over time. In addition, while the differential effects of demographic variables on changes in these interaction patterns were widely founded, such changes were not substantially linked to doctoral student outcomes. Implications for research on doctoral education and socialization theory are discussed.","Soojeong Jeong, Kaylee Litson, Jennifer Blaney, David F. Feldon",10.1007/s11162-019-09583-7,Research in Higher Education,"Doctoral socialization, Faculty-student interaction, Peer interaction, Person-centered approach, Latent transition analysis ",
Policy should change to improve invited speaker diversity and reflect trainee diversity,dataset-371,"The biomedical sciences have a problem retaining white women and underrepresented minorities in academia. Despite increases in the representation of these groups in faculty candidate pools, they are still underrepresented at the faculty level, particularly at the Full Professor level. The lack of diverse individuals at the Full Professor level contributes to the attrition of women and under-represented minorities, as it confirms unconscious biases. The presence of unconscious biases contribute to feelings of not belonging by trainees and are amplified by visual representation of who is presented as the ※top scientist in their field§. Top scientists are not only defined by the attainment of Full Professorships, but also through invited seminar series. Invitations for faculty to present their research at other university departments is highly valued offer that provides an opportunity for collaborations and networking. However, if invited speakers do not represent the demographics of current trainees, these visual representations of successful scientists may contribute to decreased attitudes of self-identification as a scientist, ultimately resulting in trainees leaving the field or the academy. In this study, we compare invited-speaker demographics to the current trainee demographics in one microbiology and immunology department and find that trainees are not proportionally represented by speakers invited to the department. Our investigation prompted changes in policy for how invited speakers are selected in the future to invite a more diverse group of scientists. To facilitate this process, we developed a set of tips and a web-based resource that allows scientists, committees, and moderators to identify members of under-served groups. These resources can be easily adapted by other fields or sub-fields to promote inclusion and diversity at seminar series＊, conferences, and colloquia.","Ada K Hagan, Rebecca M Pollet, Josie Libertucci",10.1101/785717,BioRxiv,"Inclusion, Diversity, Invited Speakers, Academia, Graduate Programs",
Probing the National Geoscience Faculty Survey for reported use of practices that support inclusive learning environments in undergraduate courses,dataset-371,"AbstractWhat is the extent to which college and university geoscience faculty report using education practices that contribute to more inclusive learning environments and engage a diverse populatio..."",","Rachel J. Beane, Karen McNeal, R. Heather Macdonald",10.1080/10899995.2019.1621714,Journal of Geoscience Education,"Diversity,?inclusive pedagogy,?science teaching,?student success",
Academic Entrepreneurship: The Bayh-Dole Act versus the ProfessoraTMs Privilege,dataset-371,"Is the Bayh-Dole intellectual property regime associated with more and better academic entrepreneurship than the Professor\u2019s Privilege regime? The authors examine data on US PhDs in the natural sciences, engineering, and medical fields who became entrepreneurs in 1993\u20132006 and compare this to similar data from Sweden. They find that, in both countries, those with an academic background have lower rates of entry into entrepreneurship than do those with a non-academic background. The relative rate of academics starting entrepreneurial firms is slightly lower in the United States than in Sweden. Moreover, the mean economic gains from becoming an entrepreneur are negative, both for PhDs originating in academia and for non-academic settings in both countries. Analysis indicates that selection into entrepreneurship occurs from the lower part of the ability distribution among academics. The results suggest that policies supporting entrepreneurial decisions by younger, tenure-track academics may be more effective..."",","Thomas ?stebro, Serguey Braguinsky, Pontus Braunerhjelm, Anders Brostr?m",10.1177/0019793918819809,ILR Review,"Academic Entrepreneurship,?Innovation,?Royalty Sharing,?Bayh-Dole,?Professor＊s Privilege",
A data-based guide to the North American ecology faculty job market,dataset-371,"Every year for three years (2016 to 2018), I tried to identify every single person hired as a tenure track prof in ecology or an allied field (e.g., fish & wildlife) in N. America. I identified a total of 566 hires. I used public sources to compile various data on the new hires and the institutions that hired them (e.g., number of publications, teaching experience, hiring institution Carnegie class). I also compiled data provided by anonymous ecology faculty job seekers on ecoevojobs.net (e.g., number of positions applied for, number of publications, numbers of interviews and offers). And I polled readers of the Dynamic Ecology blog to get information about applicant and search committee behavior (e.g., regarding customization of applications to the hiring institution). These data address some widespread anxieties and misunderstandings about the ecology faculty job market, and also speak to gender diversity and equity in recent ecology faculty hiring. They complement, and in some cases improve on, other sources of information, such as anecdotal personal experiences."",",Jeremy W Fox,10.1101/751867,BioRxiv, -,
Developing an Indigenous Knowledge Field Camp,dataset-371,This chapter describes a field坼based experience based on Native American best mentoring practices that brings together traditional ecological knowledge and Western science to build relationships and understanding between Native students and faculty mentors.,"Jerry R. McMurtry, Raquel Gon?alves Arouca, Aaron M Thomas",10.1002/he.20336,New Directions for Higher Education, - ,
Why foreign STEM PhDs are unlikely to work for US technology startups,dataset-371,"Visa policies to retain United States-trained STEM PhDs are of central importance to national innovation and economic competitiveness. There is also growing interest in \""startup\"" visas that stimulate entrepreneurial activity and job creation, particularly in technology sectors. However, there is little understanding of how visa policies might influence foreign PhDs' employment in technology startups. This study investigates differences between 2,324 foreign and US PhDs from US research universities using a longitudinal survey of individuals' preferences and characteristics during graduate school and their subsequent employment in a startup or established firm. Among PhDs whose first job is industrial research & development, 15.8% of US PhDs work in a startup compared with 6.8% of foreign PhDs. Foreign PhDs are as likely as US PhDs to apply to and receive offers for startup jobs, but conditional on receiving an offer, they are 56% less likely to work in a startup. This disparity is partially explained by differences in visa sponsorship between startups and established firms and not by foreign PhDs' preferences for established firm jobs, risk tolerance, or preference for higher pay. Foreign PhDs who first work in an established firm and subsequently receive a green card are more likely to move to a startup than another established firm, suggesting that permanent residency facilitates startup employment. These findings suggest that US visa policies may deter foreign PhDs from working in startups, thereby restricting startups' access to a large segment of the STEM PhD workforce and impairing startups' ability to contribute to innovation and economic growth."",","Michael Roach, John David Skrentny, ",10.1073/pnas.1820079116,Proceedings of the National Academy of Sciences,"Occupations, Policy, Universities, Green Card",
"On the nexus between innovation, productivity and migration of US university graduates",dataset-371,"This paper studies the link between the migration of US university graduates, innovation and productivity. Using migration flows extracted from the SESTAT database and following a simultane..."",",Pantelis Kazakis,10.1080/17421772.2019.1636127,Spatial Economic Analysis,"Skilled Worker Migration,Human Capital,?Innovation,?Total Factor Productivity",
Biobusiness consulting to prepare scientists for industry careers,dataset-371,"Evidence indicates that participation in a biobusiness consulting experience has an important impact on the career path of participants while not affecting their scientific productivity."",","Julie E. Tetzlaff, Philip S. Clifford",10.1038/s41587-019-0173-4,Nature Biotechnology, - ,
Stability and Longevity in the Publication Careers of U.S. Doctorate Recipients,dataset-371,"Since the 1950s, the number of doctorate recipients has risen dramatically in the United
States. In this paper, we investigate whether the longevity of doctorate recipients＊ publication careers has changed. This is achieved by matching 1951每2010 doctorate recipients
with rare names in astrophysics, chemistry, economics, genetics and psychology in the dissertation database ProQuest to their publications in the publication database Web of Science. Our study shows that pre-PhD publication careers have changed: the median year of
first publication has shifted from after the PhD to several years before PhD in most of the
studied fields. In contrast, post-PhD publication career spans have not changed much in
most fields. The share of doctorate recipients who have published for more than twenty
years has remained stable over time; the shares of doctorate recipients publishing for
shorter periods also remained almost unchanged. Thus, though there have been changes
in pre-PhD publication careers, post-PhD career spans remained quite stable.","Cathelijn J. F.Waaijer, Beno?t Macaluso, Cassidy R. Sugimoto, Vincent Larivi豕re",10.1371/journal.pone.0154741,PLoS One, -  ,
Measuring time to the doctorate: reinterpretation of the evidence,dataset-371,"There has been increasing concern that the length of time it takes to earn a doctorate in this country has increased dramatically over the last 20 years. The regularly cited evidence-organized by the year in which recipients of doctorates were awarded their degrees-s seriously misleading, however. The application of stable population theory to the problem suggests that the steady fall in the sizes of entering cohorts to graduate school has inflated both the measure of the absolute level of median time to degree and the increase in time to degree. When the same underlying data are reorganized by the year in which recipients of doctorates received their bac-calaureate, the statistical bias is eliminated, and the median total time to degree in the humanities is shown to have risen 15-20% rather than the reported 40%. ","William G. Bowen, Graham Lord, Julie Ann Sosa",10.1073/pnas.88.3.713,Proceedings of the National Academy of Sciences, - ,
WHO'S PATENTING IN THE UNIVERSITY? EVIDENCE FROM THE SURVEY OF DOCTORATE RECIPIENTS,dataset-371,"We use the Survey of Doctorate Recipients to examine the question of who in US universities is patenting. Because standard methods of estimation are not directly applicable, we use a zero-inflated negative binomial model to estimate the patent equation, using instruments for the number of articles to avoid problems of endogeneity. We also estimate the patent model using the generalized method of moments estimation of count data models with endogenous regressors. We find work context and field to be important predictors of the number of patent applications. We also find patents to be positively and significantly related to the number of publications. This finding is robust to the choice of instruments and method of estimation. The cross-sectional nature of the data preclude an examination of whether a trade-off exists between publishing and patenting, holding individual characteristics constant over time. But the strong cross-sectional correlation that we find does not suggest that commercialization has come at the expense of placing knowledge in the public domain."",","Paula E. Stephan, Shiferaw Gurmu, Albert J. Sumell, Grant C. Black",10.1080/10438590600982806,Economics of Innovation and New Technology,"?Academic research productivity,?Patenting,?Publishing,?Technology transfer,?Count data models,?Bayh每Dole Act",
"Stay Rates of Foreign Doctorate Recipients from U.S. Universities, 2007",dataset-371,"Study of the stay rate in the United States of foreign nationals receiving their S/E doctorates from U.S. universities. This study has estimated stay rates in 2007 for persons receiving a doctorate one, two, five, and ten years previously. The two-year stay rate (for 2005 graduates) recovered from the decline experienced earlier in the decade. The five-year stay rate (for 2002 graduates) is lower; the ten-year stay rate (for 1997 graduates) reached a new high."",",Michael G. Finn,10.2172/971617,U.S. Department of Energy Office of Scientific and Technical Information, - ,
Marriage and Baby Blues: Redefining Gender Equity in the Academy,dataset-371,"The results of the study discussed in this article indicate that gender equity in terms of familial gains is as elusive as gender equity in terms of professional employment, raising the issue of what gender eq","Mary Ann Mason, Marc Goulden",10.1177/000271620459600104,The ANNALS of the American Academy of Political and Social Science, - ,
Gender Differences in Salary and Promotion in the Humanities,dataset-371,"This study finds differences in employment outcomes by gender using two methods: the Oaxaca decomposition is used to examine salary differentials, and duration analysis is used to estimate promotion to tenure. While gender salary differences can largely be explained by academic rank, substantial gender differences in promotion to tenure exist after controlling for productivity, demographic characteristics, and primary work activity.","Kathy J. Hayes, Donna K. Ginther",10.1257/aer.89.2.397,American Economic Review, - ,
