,dataset_name,dataset_url,pub_url,title
0,IRI Consumer Network,https://www.iriworldwide.com/en-US/Solutions/Media/Media-Solutions/Consumer,https://www.doi.org/10.1177/0042098017740285,Supply-side subsidies to improve food access and dietary outcomes: Evidence from the New Markets Tax Credit
1,IRI Consumer Network,https://www.iriworldwide.com/en-US/Solutions/Media/Media-Solutions/Consumer,https://www.doi.org/10.1016/j.ypmed.2016.08.018,The healthfulness of food and beverage purchases after the federal food package revisions: The case of two New England states
2,IRI Consumer Network,https://www.iriworldwide.com/en-US/Solutions/Media/Media-Solutions/Consumer,https://www.doi.org/10.1371/journal.pone.0124351,"Relationships between Diet, Alcohol Preference, and Heart Disease and Type 2 Diabetes among Americans"
3,IRI Infoscan,https://www.iriworldwide.com/en-US/Solutions/Retail,https://www.doi.org/10.1080/10454446.2018.1428259,A comparative analysis of hedonic models of nutrition information and health claims on food products: An application to soup products
4,IRI Infoscan,https://www.iriworldwide.com/en-US/Solutions/Retail,https://www.doi.org/10.1007/s10603-018-9396-x,Evidence from Retail Food Markets That Consumers Are Confused by Natural and Organic Food Labels
5,IRI Consumer Network,https://www.iriworldwide.com/en-US/Solutions/Media/Media-Solutions/Consumer,https://www.doi.org/10.1080/15140326.2018.1526869,A new approach to estimate household food demand with panel data
6,IRI Infoscan,https://www.iriworldwide.com/en-US/Solutions/Retail,https://www.doi.org/10.3168/jds.2015-10410,The effects of retail concentration on retail dairy product prices in the United States
7,IRI Consumer Network,https://www.iriworldwide.com/en-US/Solutions/Media/Media-Solutions/Consumer,https://www.doi.org/10.1016/j.jand.2017.01.011,"No Fat, No Sugar, No Salt . . . No Problem? Prevalence of ""Low-Content"" Nutrient Claims and Their Associations with the Nutritional Profile of Food and Beverage Purchases in the United States"
8,IRI Infoscan,https://www.iriworldwide.com/en-US/Solutions/Retail,https://www.doi.org/10.1093/erae/jbv032,Consumers' welfare and off-season produce imports
9,IRI Infoscan,https://www.iriworldwide.com/en-US/Solutions/Retail,https://www.doi.org/10.1093/erae/jby026,The relationship between price and retail concentration: evidence from the US food industry
10,IRI Infoscan,https://www.iriworldwide.com/en-US/Solutions/Retail,https://www.doi.org/10.1093/aepp/ppy018,Documenting the Link Between Poor Food Access and Less Healthy Product Assortment Across the U.S
11,IRI Infoscan,https://www.iriworldwide.com/en-US/Solutions/Retail,https://www.doi.org/10.1093/ajae/aay002,"Spatial and Temporal Variation in the Value of the Women, Infants, and Children Program's Fruit and Vegetable Voucher"
12,IRI Consumer Network,https://www.iriworldwide.com/en-US/Solutions/Media/Media-Solutions/Consumer,https://www.doi.org/10.1177/0890117117740935,"Chronic Disease, Prescription Medications, and Food Purchases"
13,IRI Consumer Network,https://www.iriworldwide.com/en-US/Solutions/Media/Media-Solutions/Consumer,https://www.doi.org/10.1177/0890117118786871,"The Healthfulness of Food-at-Home Expenditures, the Local Food Environment, and Childhood Obesity"
14,IRI Consumer Network,https://www.iriworldwide.com/en-US/Solutions/Media/Media-Solutions/Consumer,https://www.doi.org/10.1111/agec.12222,Modeling price transmission between farm and retail prices: a soft switches approach
15,IRI Consumer Network,https://www.iriworldwide.com/en-US/Solutions/Media/Media-Solutions/Consumer,https://www.doi.org/10.1111/agec.12143,The quantity and variety of households' meat purchases: A censored demand system approach
16,FoodAPS National Household Food Acquisition and Purchase Survey,https://www.ers.usda.gov/data-products/foodaps-national-household-food-acquisition-and-purchase-survey/,http://www.ers.usda.gov/publications/pub-details/?pubid=45536,WIC Households' Food Purchases Using WIC Benefits and Paying Out of Pocket: A Case Study of Cold Cereal Purchases
17,FoodAPS National Household Food Acquisition and Purchase Survey,https://www.ers.usda.gov/data-products/foodaps-national-household-food-acquisition-and-purchase-survey/,https://ageconsearch.umn.edu/record/276252/files/TB-1947.pdf,USDA's National Household Food Acquisition and Purchase Survey: Methodology for Imputing Missing Quantities To Calculate Healthy Eating Index-2010 Scores and Sort Foods Into ERS Food Groups
18,FoodAPS National Household Food Acquisition and Purchase Survey,https://www.ers.usda.gov/data-products/foodaps-national-household-food-acquisition-and-purchase-survey/,https://api.elsevier.com/content/article/PII:S0306919218301222?httpAccept=application/pdf&APIKey=7ff2a9eacaeec4ab00d57e3784c42a3f,Overview: Exploring ways to encourage healthier food purchases by low-income consumers Lessons from behavioral economics and marketing
19,FoodAPS National Household Food Acquisition and Purchase Survey,https://www.ers.usda.gov/data-products/foodaps-national-household-food-acquisition-and-purchase-survey/,https://www.ers.usda.gov/amber-waves/2018/januaryfebruary/supermarkets-schools-and-social-gatherings-where-supplemental-nutrition-assistance-program-and-other-us-households-acquire-their-foods-correlates-with-nutritional-quality/,"Supermarkets, Schools, and Social Gatherings: Where Supplemental Nutrition Assistance Program and Other U.S. Households Acquire Their Foods Correlates With Nutritional Quality"
20,FoodAPS National Household Food Acquisition and Purchase Survey,https://www.ers.usda.gov/data-products/foodaps-national-household-food-acquisition-and-purchase-survey/,https://www.ers.usda.gov/webdocs/publications/87531/eib-188.pdf?v=0,Nutritional Quality of Foods Acquired by Americans: Findings From USDAAos National Household Food Acquisition and Purchase Survey
21,FoodAPS National Household Food Acquisition and Purchase Survey,https://www.ers.usda.gov/data-products/foodaps-national-household-food-acquisition-and-purchase-survey/,https://www.ers.usda.gov/publications/pub-details/?pubid=89343,Consumers Balance Time and Money in Purchasing Convenience Foods
22,FoodAPS National Household Food Acquisition and Purchase Survey,https://www.ers.usda.gov/data-products/foodaps-national-household-food-acquisition-and-purchase-survey/,https://www.ers.usda.gov/publications/pub-details/?pubid=80541,Where Households Get Food in a Typical Week: Findings From USDA's FoodAPS
23,FoodAPS National Household Food Acquisition and Purchase Survey,https://www.ers.usda.gov/data-products/foodaps-national-household-food-acquisition-and-purchase-survey/,https://www.ers.usda.gov/amber-waves/2017/august/usda-s-foodaps-providing-insights-into-us-food-demand-and-food-assistance-programs/,USDA FoodAPS: Providing Insights Into U.S. Food Demand and Food Assistance Programs
24,FoodAPS National Household Food Acquisition and Purchase Survey,https://www.ers.usda.gov/data-products/foodaps-national-household-food-acquisition-and-purchase-survey/,https://www.sciencedirect.com/science/article/pii/S0306919218301283,How do food retail choices vary within and between food retail environments?
25,FoodAPS National Household Food Acquisition and Purchase Survey,https://www.ers.usda.gov/data-products/foodaps-national-household-food-acquisition-and-purchase-survey/,https://www.ers.usda.gov/publications/pub-details/?pubid=79791,Where Do Americans Usually Shop for Food and How Do They Travel To Get There? Initial Findings from the National Household Food Acquisition and Purchase Survey
26,FoodAPS National Household Food Acquisition and Purchase Survey,https://www.ers.usda.gov/data-products/foodaps-national-household-food-acquisition-and-purchase-survey/,https://www.sciencedirect.com/science/article/pii/S0749379718317343?via%3Dihub,Diet Quality Over the Monthly Supplemental Nutrition Assistance Program Cycle
